Property List,,,,,
ID,Open,Parcel Number,Address,Description,Project Area
99,Open,5058-019-016,1940 W 25Th St,FAME,North Hollywood
95,Open,5053-012-900,2616 S Hobart Blvd,Fire house,North Hollywood
327,Open,5053-006-903,3011 S Western Ave,"Former Fat Burger Site, currently vacated.  ",North Hollywood
327,Open,5053-006-900,3011 S Western Ave,"Former Fat Burger Site, currently vacated.  ",North Hollywood
327,Open,5053-006-902,3011 S Western Ave,"Former Fat Burger Site, currently vacated.  ",North Hollywood
327,Open,5053-006-901,3011 S Western Ave,"Former Fat Burger Site, currently vacated.  ",North Hollywood
54,Open,4006-018-901,6527 S Crenshaw Blvd,Former Hyde park public liabrary at 6527 Crenshaw Blvd. (Vacant),Council District 9
407,Open,2321-022-900,6842 Gentry Ave,"Gentry Apartments
Loan 871412",Los Angeles Harbor
136,Open,5139-007-947,900 S Hope St,Grand Hope Park,Los Angeles Harbor
98,Open,5055-022-035,1177 W. 25th St.,"Ground Lease, Loan 871726",Monterey Hills
97,Open,5053-026-920,1806 W 27Th St,Halldale Park,Monterey Hills
352,Open,5053-029-906,2707 S Halldale Ave,Halldale Park,Monterey Hills
354,Open,5053-029-908,2707 S Halldale Ave,Halldale Park,Monterey Hills
357,Open,5053-026-912,2717 Halldale Ave,Halldale Park,Monterey Hills
353,Open,5053-029-907,2725 S Halldale Ave,Halldale Park,CBD Amended
474,Open,5174-016-027,1914 E 1ST ST,"HOMEBOY INDUSTRIES as owner per Assessor - location of Eastside site office, keep in Risk Management list.",Bunker Hill
93,Open,5053-001-037,2615 S Western Ave,Housing,Bunker Hill
93,Open,5053-001-031,2615 S Western Ave,Housing,Bunker Hill
325,Open,5172-008-902,1300 East First Street,Industrial building operated by Ocean Seafood.  Processing plant for fresh sea urchins for Japanese restaurants in the local area.,CBD Amended
325,Open,5172-008-901,1300 East First Street,Industrial building operated by Ocean Seafood.  Processing plant for fresh sea urchins for Japanese restaurants in the local area.,Central Industrial
325,Open,5172-008-900,1300 East First Street,Industrial building operated by Ocean Seafood.  Processing plant for fresh sea urchins for Japanese restaurants in the local area.,Central Industrial
142,Open,5141-025-025,826 S Coronado St,L.A. Family Housing,North Hollywood
214,Open,5572-031-901,1801 N La Brea Ave,"La Brea/Franklin Apartments
Loan 871799
Also known as 1801 N. La Brea Ave Los Angeles CA 90046",North Hollywood
174,Open,5149-037-026,555 S Main St,LA Garage  parking,Council District 9
154,Open,5147-029-048,660 Stanford Ave,LA Mens Place (LAMP),Council District 9
155,Open,5147-029-049,656 Stanford Ave,LAMP (parking lot),Council District 9
340,Open,5032-003-905,3772 W MARTIN LUTHER KING JR BLVD,Marlton Square  2 story office building.,Council District 9
339,Open,5032-003-904,3760 W MARTIN LUTHER KING JR BLVD,Marlton Square.  2 story office building.,Western Slauson
86,Open,5040-030-905,3685 S Vermont Ave,Mary McLeod Bethune Library owned by the City of LA-Library Dept. Vacant. Located across from USC campus.,Central Industrial
59,Open,5019-001-901,801 W 40Th Pl,MLK Jr. Village/Apartments,Wilshire Center / Koreatown
271,Open,6048-013-049,1650 E Century Blvd,Multi family residential,Exposition/University Park
51,Open,2416-010-066,5220 Harmony Ave,Multi family residential,Exposition/University Park
55,Open,4286-017-901,102 Navy St,Navy Blue  Apartments Loan 875612,Exposition/University Park
101,Open,5059-004-900,2450 Crenshaw Blvd,Nikki property with a sub-standard improvement,Exposition/University Park
101,Open,5059-004-901,2450 Crenshaw Blvd,Nikki property with a sub-standard improvement,Exposition/University Park
456,Open,5138-013-068,1001 S HOPE ST,"O I HOPE L P as owner per Assessor, CRA maintains ground lease, covenants and conditions on property.",Exposition/University Park
456,Open,5138-013-069,1001 S HOPE ST,"O I HOPE L P as owner per Assessor, CRA maintains ground lease, covenants and conditions on property.",Exposition/University Park
456,Open,5138-013-067,1001 S HOPE ST,"O I HOPE L P as owner per Assessor, CRA maintains ground lease, covenants and conditions on property.",Exposition/University Park
436,Open,5055-021-027,1119 W 25TH ST,"OBRIEN, ADRIENNE AND as owner per Assessor - location of CRA's Central Maintenenace facility site, keep in Risk Management list.",Exposition/University Park
85,Open,5032-004-900,3800 W Martin Luther King Jr Blvd,"Operating Church, with share of parking lot.  Parking Lot area is estimated at 26347",Exposition/University Park
424,Open,2416-010-051,5250 HARMONY AVE,OPUS AT ECHO LP as owner per Assessor - CRA has groundlease for 55 years only. Property not available for sale/lease.,Exposition/University Park
100,Open,5059-003-900,4347 W Adams Blvd,"Parcel of land that includes a vacant, partially demolished I story improvement.",Exposition/University Park
43,Open,2111-029-903,7330 N Canoga Ave,"Parcel to be developed, improved, lighted paved parking lot for customers/employees of the surrounding businesses.",Exposition/University Park
168,Open,5149-010-939,361 S Hill St,Park and Plaza  Parcel Y-1,Exposition/University Park
242,Open,2125-036-903,18210 W Sherman Way,Parking Lot,Exposition/University Park
96,Open,5053-012-904,2611 S Harvard Blvd,Parking lot,Exposition/University Park
48,Open,2350-018-937,5220 Lankershim Blvd.,Parking lot,Exposition/University Park
153,Open,5147-026-900,600 S San Pedro St,Parking lot,Exposition/University Park
78,Open,5019-025-912,601 W 40Th Pl,Parking lot,Exposition/University Park
78,Open,5019-025-911,601 W 40Th Pl,Parking lot,Exposition/University Park
263,Open,6032-012-905,927 W 85Th St,Parking lot,Exposition/University Park
143,Open,5144-010-021,712 S Figueroa St,Parking lot (Commercial),Exposition/University Park
217,Open,6006-029-901,5879 Crocker St,"Parking lot that was purchased along with main property 6006-030-038 & 050, Two industrial buildings.",Los Angeles Harbor
217,Open,6006-029-900,5879 Crocker St,"Parking lot that was purchased along with main property 6006-030-038 & 050, Two industrial buildings.",Monterey Hills
241,Open,2125-036-901,18128 Sherman Way,Parking Lot to 18128 Sherman Way,Monterey Hills
230,Open,6032-012-904,942 W 84Th St,"Parking lot used by ICO Vermont
Used as construction staging.",Westlake
176,Open,5151-014-913,"240 S Hope St., 225-237 S. Grand Ave.","Parking lot, Parcel M-2, airspace parking lot above 2nd Street Tunnel.",Westlake
370,Open,5137-020-904,1554 W 11Th Pl,"Pascual Reyes Housing, ",Westlake
232,Open,5545-002-902,1720 N Gower St,Permanent supportive housing,Westlake
232,Open,5545-002-900,1720 N Gower St,Permanent supportive housing,Westlake
232,Open,5545-002-901,1720 N Gower St,Permanent supportive housing,Hollywood
383,Open,5114-032-900,1221 East 40th Place,"Ralph Bunche Heritage Home, which is considered a Historical Museum",Western Slauson
344,Open,5039-019-923,3216 S Hoover St,Remnant Property,Hollywood
49,Open,2416-009-031,5243 Harmony Ave,Residential units and a building,Hollywood
49,Open,2416-009-030,5243 Harmony Ave,Residential units and a building,Monterey Hills
157,Open,5148-014-904,312 E 5Th St,San Julian Park,Monterey Hills
158,Open,5148-014-905,511 San Julian St,San Julian Park,Monterey Hills
159,Open,5148-014-906,513 San Julian St,San Julian Park,Westlake
53,Open,2785-013-900,8431 Geyser Ave,Single Family Residence deed restricted as care facility.  Board approved to transitional housing for blind.  In process.  ,Hollywood
30,Open,5135-022-900,"1316, 1318 S Union Ave","Single Family Residence, former Pico Union 1 Site Office.",
270,Open,6048-012-932,10221 S Compton Ave,Small piece of land dedicated for driveway,Crenshaw/Slauson
337,Open,5032-003-903,4023 MARLTON AVE,Small retail strip center in Marlton Square.  141-142 Santa Barbara Plaza.,Central Industrial
421,Open,2350-018-090,5250 N LANKERSHIM BLVD,"SNYDER NOHO III LLC as owner per Assessor - tied to development on APN 2350015115, location of East Valley site office, keep in Risk Management list.",Central Industrial
421,Open,2350-018-092,5250 N LANKERSHIM BLVD,"SNYDER NOHO III LLC as owner per Assessor - tied to development on APN 2350015115, location of East Valley site office, keep in Risk Management list.",North Hollywood
421,Open,2350-018-091,5250 N LANKERSHIM BLVD,"SNYDER NOHO III LLC as owner per Assessor - tied to development on APN 2350015115, location of East Valley site office, keep in Risk Management list.",Council District 9
178,Open,5161-017-920,364 E 1St St,Street,Council District 9
235,Open,5546-009-906,1601 Vine St,"Surface parking lot with a  small shop, a burger stand, parking operations and 2 billboards.",Council District 9
235,Open,5546-009-907,1601 Vine St,"Surface parking lot with a  small shop, a burger stand, parking operations and 2 billboards.",Council District 9
137,Open,5141-001-901,619 S Westlake Ave,There are eight (8) occupied rental housing units in the property.,CBD Amended
137,Open,5141-001-027,619 S Westlake Ave,There are eight (8) occupied rental housing units in the property.,CBD Amended
137,Open,5141-001-902,619 S Westlake Ave,There are eight (8) occupied rental housing units in the property.,CBD Amended
137,Open,5141-001-900,619 S Westlake Ave,There are eight (8) occupied rental housing units in the property.,Reseda/Canoga Park
137,Open,5141-001-903,619 S Westlake Ave,There are eight (8) occupied rental housing units in the property.,Reseda/Canoga Park
403,Open,2119-020-013,"7215, 7221 Canby Ave",To be developed to provide parking for the Reseda Parking Theatre,Reseda/Canoga Park
403,Open,2119-020-901,"7215, 7221 Canby Ave",To be developed to provide parking for the Reseda Parking Theatre,Reseda/Canoga Park
296,Open,6065-023-906,10341 S Graham Ave,Train station plus vacant land,Reseda/Canoga Park
404,Open,2125-036-902,18210 Sherman Way,"Two-Story office building, built 1962, 50% occupied.",Reseda/Canoga Park
477,Open,5546-026-031,6255 W SUNSET BLVD                      ,"USA SUNSET MEDIA 27 LLC ET AL as owner per Assessor - Hollywood site office, keep in Risk Management list.",Reseda/Canoga Park
82,Open,5032-003-900,3700 W Martin Luther King Jr Blvd,Vacant Commercial Lot used to be a swapmeet,Reseda/Canoga Park
83,Open,5032-003-901,4013 Marlton Ave,Vacant Commercial Lot used to be a swapmeet,City Center
204,Open,5302-009-923,4604 N Armour Ave,Vacant land,Los Angeles Harbor
194,Open,5301-003-910,632 E Coleman Ave,Vacant land,Exposition/University Park
197,Open,5301-017-902,4650 N Armour Ave,Vacant land (Slope),Council District 9
202,Open,5302-008-906,5321 Hawley Ave,Vacant land (Slope),Westlake
201,Open,5302-008-904,5336 Monterey Rd,Vacant land (Slope),Los Angeles Harbor
203,Open,5302-008-907,5348 N Monterey Road,Vacant land (Slope),Reseda/Canoga Park
200,Open,5302-008-903,5364 Monterey Rd,Vacant land (Slope),Vermont Manchester
198,Open,5301-020-901,617 E Redfield Ave,Vacant land (Slope),CBD Amended
198,Open,5301-020-906,617 E Redfield Ave,Vacant land (Slope),Vermont Manchester
179,Open,5161-020-923,252 S San Pedro St,Vacant land Old railroad right of way,Vermont Manchester
264,Open,6032-013-905,8500 S Vermont Ave,Vacant land/ Purchased through eminent domain.  Contact Legal (curt Holguin) for details of transfer.,Broadway/Manchester
18,Open,5078-012-900,1035 & 1039 South Berendo St,Vacant Lot,Broadway/Manchester
18,Open,5078-012-901,1035 & 1039 South Berendo St,Vacant Lot,Watts
276,Open,6053-006-918,"214, 226 W 94Th St",Vacant lot,Watts
276,Open,6053-006-900,"214, 226 W 94Th St",Vacant lot,Watts
276,Open,6053-006-915,"214, 226 W 94Th St",Vacant lot,Watts
276,Open,6053-006-923,"214, 226 W 94Th St",Vacant lot,Bunker Hill
276,Open,6053-006-913,"214, 226 W 94Th St",Vacant lot,Watts Corridors
276,Open,6053-006-917,"214, 226 W 94Th St",Vacant lot,Watts Corridors
276,Open,6053-006-916,"214, 226 W 94Th St",Vacant lot,Watts Corridors
276,Open,6053-006-901,"214, 226 W 94Th St",Vacant lot,Los Angeles Harbor
276,Open,6053-006-902,"214, 226 W 94Th St",Vacant lot,Los Angeles Harbor
276,Open,6053-006-922,"214, 226 W 94Th St",Vacant lot,Los Angeles Harbor
276,Open,6053-006-925,"214, 226 W 94Th St",Vacant lot,Los Angeles Harbor
276,Open,6053-006-924,"214, 226 W 94Th St",Vacant lot,Los Angeles Harbor
276,Open,6053-006-914,"214, 226 W 94Th St",Vacant lot,Los Angeles Harbor
322,Open,7424-024-901,613 N Pioneer Ave,Vacant lot,Los Angeles Harbor
25,Open,5134-014-901,330 Venice Blvd,Vacant parcel,Los Angeles Harbor
323,Open,7424-025-900,829 E E St,Vacant parcel,Los Angeles Harbor
219,Open,6007-003-902,1040 E Slauson Ave,Vacant parcel of land.  Land acquired through eminent domain.,Los Angeles Harbor
219,Open,6007-003-901,1040 E Slauson Ave,Vacant parcel of land.  Land acquired through eminent domain.,Los Angeles Harbor
219,Open,6007-003-903,1040 E Slauson Ave,Vacant parcel of land.  Land acquired through eminent domain.,Los Angeles Harbor
219,Open,6007-003-900,1040 E Slauson Ave,Vacant parcel of land.  Land acquired through eminent domain.,Los Angeles Harbor
150,Open,5147-007-901,501 E 5Th St,Vacant Parking Lot,Los Angeles Harbor
150,Open,5147-007-005,501 E 5Th St,Vacant Parking Lot,Los Angeles Harbor
206,Open,5309-003-041,5127 Huntington Dr N,"Villa Guadalupe Apartments.
Loan 871551",Los Angeles Harbor
227,Open,6012-009-903,6915 S Main St,"Was a vacated church, that was demolished by Agency.  Property is now vacant, with no improvements",Los Angeles Harbor
24,Open,5134-014-021,1621 S Grand Ave,Young  Apts. (Grand Ave),Los Angeles Harbor
,,,,,
